Topic,Explanation,Question,Answer,Difficulty,StudentLevel,QuestionType,QuestionComplexity,Prerequisites,EstimatedTime,subject,grade
Plant Cell Walls,"Plant cell walls are structures that surround plant cells, providing structural support and protection. They are composed of various materials, including cellulose, hemicellulose, pectins, and proteins. The primary wall of a young plant cell is capable of growth, but as the cell matures, a secondary wall forms on the inner side, reducing growth. The middle lamella, mainly composed of calcium pectate, acts as a glue that holds neighboring cells together.",Describe the role of the middle lamella in plant cells.,"The middle lamella is a layer mainly composed of calcium pectate that acts as a glue, holding different neighboring cells together.",Medium,Intermediate,Conceptual,0.2725,No Prerequisites,4,Biology,11
Plant Cell Walls,"Plant cell walls are structures that surround plant cells, providing structural support and protection. They are composed of various materials, including cellulose, hemicellulose, pectins, and proteins. The primary wall of a young plant cell is capable of growth, but as the cell matures, a secondary wall forms on the inner side, reducing growth. The middle lamella, mainly composed of calcium pectate, acts as a glue that holds neighboring cells together.",Provide an example of a mineral found in the cell walls of some plants.,An example of a mineral found in the cell walls of some plants is calcium carbonate.,Hard,Advanced,General,0.373214286,No Prerequisites,7,Biology,11
Endomembrane System,"The endomembrane system is a group of membrane-bound structures within a eukaryotic cell that work together to modify, package, and transport lipids and proteins. It includes the endoplasmic reticulum, Golgi apparatus, lysosomes, vesicles, endosomes, and the cell membrane. These organelles are involved in various cellular processes such as the synthesis of proteins and lipids, their modification, sorting, and transport to their destinations.",What is the endomembrane system?,"The endomembrane system is a group of membrane-bound structures within a eukaryotic cell that work together to modify, package, and transport lipids and proteins.",Easy,Beginner,General,0.15,Root and Stem Morphology,2,Biology,11
Endomembrane System,"The endomembrane system is a group of membrane-bound structures within a eukaryotic cell that work together to modify, package, and transport lipids and proteins. It includes the endoplasmic reticulum, Golgi apparatus, lysosomes, vesicles, endosomes, and the cell membrane. These organelles are involved in various cellular processes such as the synthesis of proteins and lipids, their modification, sorting, and transport to their destinations.",Describe the role of the Golgi apparatus in the endomembrane system.,"The Golgi apparatus is responsible for modifying, sorting, packaging, and distributing proteins and lipids. It receives these molecules from the endoplasmic reticulum, processes them, and then sends them to their final destinations within or outside the cell.",Medium,Intermediate,Conceptual,0.295454545,Root and Stem Morphology,4,Biology,11
Endomembrane System,"The endomembrane system is a group of membrane-bound structures within a eukaryotic cell that work together to modify, package, and transport lipids and proteins. It includes the endoplasmic reticulum, Golgi apparatus, lysosomes, vesicles, endosomes, and the cell membrane. These organelles are involved in various cellular processes such as the synthesis of proteins and lipids, their modification, sorting, and transport to their destinations.",Provide an example of an organelle that is part of the endomembrane system and explain its function.,"An example of an organelle that is part of the endomembrane system is the endoplasmic reticulum (ER). The ER is involved in the synthesis of proteins and lipids. There are two types of ER: rough ER, which has ribosomes on its surface and is involved in protein synthesis, and smooth ER, which lacks ribosomes and is involved in lipid synthesis and detoxification processes.",Hard,Advanced,Conceptual,0.447058824,Root and Stem Morphology,7,Biology,11
The Endomembrane System,"The endomembrane system is a group of membrane-bound organelles in eukaryotic cells that work together to modify, package, and transport lipids and proteins. It includes the endoplasmic reticulum (ER), Golgi complex, lysosomes, and vacuoles. These organelles have coordinated functions, such as synthesizing and processing proteins and lipids, and transporting them to their proper destinations.",What are the main organelles that make up the endomembrane system?,"The endomembrane system includes the endoplasmic reticulum (ER), Golgi complex, lysosomes, and vacuoles.",Easy,Beginner,General,0.297727273,Root and Stem Morphology,2,Biology,11
The Endomembrane System,"The endomembrane system is a group of membrane-bound organelles in eukaryotic cells that work together to modify, package, and transport lipids and proteins. It includes the endoplasmic reticulum (ER), Golgi complex, lysosomes, and vacuoles. These organelles have coordinated functions, such as synthesizing and processing proteins and lipids, and transporting them to their proper destinations.",Describe the role of the Golgi complex in the endomembrane system.,"The Golgi complex modifies, sorts, packages, and distributes proteins and lipids that are synthesized by the endoplasmic reticulum. It acts as a processing and shipping center for the cell.",Medium,Intermediate,Conceptual,0.295454545,Root and Stem Morphology,4,Biology,11
The Endomembrane System,"The endomembrane system is a group of membrane-bound organelles in eukaryotic cells that work together to modify, package, and transport lipids and proteins. It includes the endoplasmic reticulum (ER), Golgi complex, lysosomes, and vacuoles. These organelles have coordinated functions, such as synthesizing and processing proteins and lipids, and transporting them to their proper destinations.",Provide an example of how the endomembrane system coordinates the synthesis and transport of proteins in a cell.,"An example of coordination within the endomembrane system is the synthesis and transport of proteins. Proteins are synthesized in the rough endoplasmic reticulum (RER), then transported to the Golgi complex where they are modified and sorted. From the Golgi complex, the proteins are packaged into vesicles and transported to their final destinations, such as the plasma membrane or lysosomes.",Hard,Advanced,General,0.472222222,Root and Stem Morphology,7,Biology,11
Endoplasmic Reticulum (ER),"The Endoplasmic Reticulum (ER) is a network of membranous tubules found in the cytoplasm of eukaryotic cells. It plays a crucial role in the synthesis of lipids, proteins, and other macromolecules, as well as in the transport of these molecules within the cell. The ER is divided into two types: rough ER, which has ribosomes attached to its surface and is involved in protein synthesis, and smooth ER, which lacks ribosomes and is involved in lipid synthesis and detoxification processes.",What is the full form of ER in the context of cell biology?,Endoplasmic Reticulum,Easy,Beginner,General,0.346153846,No Prerequisites,2,Biology,11
Endoplasmic Reticulum (ER),"The Endoplasmic Reticulum (ER) is a network of membranous tubules found in the cytoplasm of eukaryotic cells. It plays a crucial role in the synthesis of lipids, proteins, and other macromolecules, as well as in the transport of these molecules within the cell. The ER is divided into two types: rough ER, which has ribosomes attached to its surface and is involved in protein synthesis, and smooth ER, which lacks ribosomes and is involved in lipid synthesis and detoxification processes.",Describe the structure of the Endoplasmic Reticulum (ER) as observed under an electron microscope.,"The Endoplasmic Reticulum (ER) appears as a network of tiny tubular structures scattered throughout the cytoplasm. It is composed of membranous tubules that form a reticulum, or network, within the cell.",Medium,Intermediate,Conceptual,0.373214286,No Prerequisites,4,Biology,11
Endoplasmic Reticulum (ER),"The Endoplasmic Reticulum (ER) is a network of membranous tubules found in the cytoplasm of eukaryotic cells. It plays a crucial role in the synthesis of lipids, proteins, and other macromolecules, as well as in the transport of these molecules within the cell. The ER is divided into two types: rough ER, which has ribosomes attached to its surface and is involved in protein synthesis, and smooth ER, which lacks ribosomes and is involved in lipid synthesis and detoxification processes.",Provide an example of a function performed by the rough Endoplasmic Reticulum (ER).,"The rough Endoplasmic Reticulum (ER) is involved in protein synthesis. It has ribosomes attached to its surface, which facilitate the assembly of proteins that are then transported to various parts of the cell or secreted outside the cell.",Hard,Advanced,General,0.35,No Prerequisites,7,Biology,11
Endoplasmic Reticulum (ER),"The Endoplasmic Reticulum (ER) is a network of membranous tubules within the cytoplasm of eukaryotic cells. It is divided into two types: Rough Endoplasmic Reticulum (RER) and Smooth Endoplasmic Reticulum (SER). The RER has ribosomes attached to its surface and is involved in protein synthesis and secretion, while the SER lacks ribosomes and has other functions like lipid synthesis and detoxification.",Identify the two types of Endoplasmic Reticulum.,Rough Endoplasmic Reticulum (RER) and Smooth Endoplasmic Reticulum (SER).,Easy,Beginner,General,0.2,No Prerequisites,2,Biology,11
Endoplasmic Reticulum (ER),"The Endoplasmic Reticulum (ER) is a network of membranous tubules within the cytoplasm of eukaryotic cells. It is divided into two types: Rough Endoplasmic Reticulum (RER) and Smooth Endoplasmic Reticulum (SER). The RER has ribosomes attached to its surface and is involved in protein synthesis and secretion, while the SER lacks ribosomes and has other functions like lipid synthesis and detoxification.",Describe the function of the Rough Endoplasmic Reticulum.,The Rough Endoplasmic Reticulum (RER) is responsible for protein synthesis and secretion. It has ribosomes attached to its surface where the translation of proteins occurs.,Medium,Intermediate,Conceptual,0.221875,No Prerequisites,4,Biology,11
Endoplasmic Reticulum (ER),"The Endoplasmic Reticulum (ER) is a network of membranous tubules within the cytoplasm of eukaryotic cells. It is divided into two types: Rough Endoplasmic Reticulum (RER) and Smooth Endoplasmic Reticulum (SER). The RER has ribosomes attached to its surface and is involved in protein synthesis and secretion, while the SER lacks ribosomes and has other functions like lipid synthesis and detoxification.",Provide an example of a cell where you would find an abundance of Rough Endoplasmic Reticulum and explain why.,"Pancreatic cells have an abundance of Rough Endoplasmic Reticulum because these cells are actively involved in the synthesis and secretion of digestive enzymes, which are proteins. The RER facilitates the production and transport of these enzymes.",Hard,Advanced,Numerical,0.497368421,No Prerequisites,8.4,Biology,11
Cellular Organelles: Endoplasmic Reticulum and Golgi Apparatus,"The endoplasmic reticulum (ER) and Golgi apparatus are crucial organelles in eukaryotic cells. The ER is a network of membranous tubules involved in the synthesis and transport of lipids and proteins. The smooth ER (SER) lacks ribosomes and is the primary site for lipid synthesis, including steroidal hormones in animal cells. The Golgi apparatus, discovered by Camillo Golgi, processes, sorts, and packages proteins and lipids synthesized by the ER, preparing them for secretion or distribution within the cell.",What is the primary function of the smooth endoplasmic reticulum (SER) in animal cells?,"The primary function of the SER in animal cells is the synthesis of lipids, including steroidal hormones.",Easy,Beginner,General,0.373214286,No Prerequisites,2,Biology,11
Cellular Organelles: Endoplasmic Reticulum and Golgi Apparatus,"The endoplasmic reticulum (ER) and Golgi apparatus are crucial organelles in eukaryotic cells. The ER is a network of membranous tubules involved in the synthesis and transport of lipids and proteins. The smooth ER (SER) lacks ribosomes and is the primary site for lipid synthesis, including steroidal hormones in animal cells. The Golgi apparatus, discovered by Camillo Golgi, processes, sorts, and packages proteins and lipids synthesized by the ER, preparing them for secretion or distribution within the cell.",Describe the structure and function of the Golgi apparatus.,"The Golgi apparatus consists of a series of flattened membrane-bound sacs called cisternae. Its primary function is to process, sort, and package proteins and lipids synthesized by the endoplasmic reticulum, preparing them for secretion or distribution within the cell.",Medium,Intermediate,Conceptual,0.247222222,No Prerequisites,4,Biology,11
Cellular Organelles: Endoplasmic Reticulum and Golgi Apparatus,"The endoplasmic reticulum (ER) and Golgi apparatus are crucial organelles in eukaryotic cells. The ER is a network of membranous tubules involved in the synthesis and transport of lipids and proteins. The smooth ER (SER) lacks ribosomes and is the primary site for lipid synthesis, including steroidal hormones in animal cells. The Golgi apparatus, discovered by Camillo Golgi, processes, sorts, and packages proteins and lipids synthesized by the ER, preparing them for secretion or distribution within the cell.",Provide an example of a lipid synthesized by the smooth endoplasmic reticulum in animal cells.,"An example of a lipid synthesized by the smooth endoplasmic reticulum in animal cells is cholesterol, which is a type of steroidal hormone.",Hard,Advanced,General,0.4,No Prerequisites,7,Biology,11
Golgi Apparatus,"The Golgi apparatus, also known as the Golgi complex or Golgi body, is an organelle found within eukaryotic cells. It is composed of many flat, disc-shaped sacs called cisternae, which are stacked parallel to each other. These cisternae are concentrically arranged near the nucleus and play a crucial role in modifying, sorting, packaging, and distributing proteins and lipids within the cell. The Golgi apparatus has a distinct polarity, with a cis face (forming face) and a trans face (maturing face), which helps in the directional flow of materials through the organelle.",What is the primary function of the Golgi apparatus in a cell?,"The primary function of the Golgi apparatus is to modify, sort, package, and distribute proteins and lipids within the cell.",Easy,Beginner,General,0.322916667,No Prerequisites,2,Biology,11
Golgi Apparatus,"The Golgi apparatus, also known as the Golgi complex or Golgi body, is an organelle found within eukaryotic cells. It is composed of many flat, disc-shaped sacs called cisternae, which are stacked parallel to each other. These cisternae are concentrically arranged near the nucleus and play a crucial role in modifying, sorting, packaging, and distributing proteins and lipids within the cell. The Golgi apparatus has a distinct polarity, with a cis face (forming face) and a trans face (maturing face), which helps in the directional flow of materials through the organelle.",Describe the structure of the Golgi apparatus.,"The Golgi apparatus is composed of many flat, disc-shaped sacs called cisternae, which are stacked parallel to each other. These cisternae are concentrically arranged near the nucleus and have a distinct polarity with a cis face and a trans face.",Medium,Intermediate,Conceptual,0.196428571,No Prerequisites,4,Biology,11
Golgi Apparatus,"The Golgi apparatus, also known as the Golgi complex or Golgi body, is an organelle found within eukaryotic cells. It is composed of many flat, disc-shaped sacs called cisternae, which are stacked parallel to each other. These cisternae are concentrically arranged near the nucleus and play a crucial role in modifying, sorting, packaging, and distributing proteins and lipids within the cell. The Golgi apparatus has a distinct polarity, with a cis face (forming face) and a trans face (maturing face), which helps in the directional flow of materials through the organelle.",Provide an example of a cellular process that involves the Golgi apparatus.,"An example of a cellular process that involves the Golgi apparatus is the secretion of proteins. Proteins synthesized in the endoplasmic reticulum are transported to the Golgi apparatus, where they are modified and sorted. The modified proteins are then packaged into vesicles and transported to their final destinations, such as the plasma membrane for secretion or other organelles within the cell.",Hard,Advanced,General,0.325,No Prerequisites,7,Biology,11
Golgi Apparatus,"The Golgi apparatus is an organelle found in eukaryotic cells that plays a crucial role in modifying, sorting, packaging, and distributing proteins and lipids. It consists of a series of flattened membrane-bound sacs called cisternae. The Golgi apparatus has two distinct faces: the cis face, which receives materials from the endoplasmic reticulum (ER), and the trans face, which releases materials for transport to other parts of the cell or for secretion outside the cell. The cis and trans faces are interconnected but functionally different, facilitating the maturation and sorting of proteins and lipids.",What are the two distinct faces of the Golgi apparatus?,The two distinct faces of the Golgi apparatus are the cis face and the trans face.,Easy,Beginner,General,0.2725,No Prerequisites,2,Biology,11
Golgi Apparatus,"The Golgi apparatus is an organelle found in eukaryotic cells that plays a crucial role in modifying, sorting, packaging, and distributing proteins and lipids. It consists of a series of flattened membrane-bound sacs called cisternae. The Golgi apparatus has two distinct faces: the cis face, which receives materials from the endoplasmic reticulum (ER), and the trans face, which releases materials for transport to other parts of the cell or for secretion outside the cell. The cis and trans faces are interconnected but functionally different, facilitating the maturation and sorting of proteins and lipids.",Describe the primary function of the Golgi apparatus in a cell.,"The primary function of the Golgi apparatus is to modify, sort, package, and distribute proteins and lipids. It receives materials from the endoplasmic reticulum (ER) at the cis face, processes them, and then releases them from the trans face for transport to other parts of the cell or for secretion outside the cell.",Medium,Intermediate,Conceptual,0.297727273,No Prerequisites,4,Biology,11
Golgi Apparatus,"The Golgi apparatus is an organelle found in eukaryotic cells that plays a crucial role in modifying, sorting, packaging, and distributing proteins and lipids. It consists of a series of flattened membrane-bound sacs called cisternae. The Golgi apparatus has two distinct faces: the cis face, which receives materials from the endoplasmic reticulum (ER), and the trans face, which releases materials for transport to other parts of the cell or for secretion outside the cell. The cis and trans faces are interconnected but functionally different, facilitating the maturation and sorting of proteins and lipids.",Provide an example of a cellular process that involves the Golgi apparatus.,"An example of a cellular process that involves the Golgi apparatus is the secretion of hormones. In endocrine cells, proteins synthesized in the ER are transported to the Golgi apparatus, where they are modified and packaged into secretory vesicles. These vesicles then move to the plasma membrane and release the hormones into the bloodstream through exocytosis.",Hard,Advanced,General,0.325,No Prerequisites,7,Biology,11
Cellular Organelles and Protein Synthesis,"The endoplasmic reticulum (ER), Golgi apparatus, and lysosomes work together to manage proteins in a cell. First, proteins are made by ribosomes attached to the ER. Then, these proteins move to the Golgi apparatus. Here, they are modified and sometimes combined with carbohydrates to form glycoproteins or glycolipids, like those found in cell membranes. Finally, lysosomes, which are tiny structures surrounded by a membrane, break down worn-out cell parts. They act like the cell's recycling center, using enzymes to digest and dispose of old or damaged components. This process is essential for the cell's maintenance and overall health.",What is the primary function of the Golgi apparatus in relation to proteins synthesized by ribosomes on the endoplasmic reticulum?,The Golgi apparatus modifies proteins synthesized by ribosomes on the endoplasmic reticulum before they are released from its trans face.,Easy,Beginner,General,0.5225,No Prerequisites,2,Biology,11
Cellular Organelles and Protein Synthesis,"The endoplasmic reticulum (ER), Golgi apparatus, and lysosomes play crucial roles in protein processing within a cell. The ER is where proteins are synthesized by ribosomes. These proteins then move to the Golgi apparatus, where they are modified. The Golgi apparatus also forms glycoproteins and glycolipids, which are proteins and lipids with added carbohydrate chains. Lysosomes are membrane-bound structures that contain digestive enzymes. They break down cellular components, including worn-out organelles and foreign particles, through a process called autophagy. This degradation is essential for cellular maintenance and recycling of materials. For example, during cellular stress or starvation, lysosomes help recycle cellular components to provide nutrients.",Describe the process by which proteins are modified in the Golgi apparatus.,"Proteins synthesized by ribosomes on the endoplasmic reticulum are transported to the Golgi apparatus, where they undergo modifications such as glycosylation to form glycoproteins and glycolipids. These modified proteins are then released from the trans face of the Golgi apparatus.",Medium,Intermediate,Conceptual,0.322916667,No Prerequisites,4,Biology,11
Cellular Organelles and Protein Synthesis,"The endoplasmic reticulum (ER), Golgi apparatus, and lysosomes play crucial roles in protein processing within a cell. Protein synthesis begins at ribosomes attached to the ER, producing polypeptide chains. These proteins then move to the Golgi apparatus, where they are modified and sorted. The Golgi apparatus is also responsible for the formation of glycoproteins and glycolipids, essential for cellular functions like signaling and adhesion. Lysosomes, which are membrane-bound organelles, contain digestive enzymes that break down cellular components. This degradation process is vital for cellular maintenance and recycling of materials. For example, during phagocytosis, lysosomes fuse with phagosomes to digest engulfed particles, aiding in the cell's defense mechanism.",Provide an example of a cellular component that is formed with the help of the Golgi apparatus.,"An example of a cellular component formed with the help of the Golgi apparatus is glycoproteins. Glycoproteins are proteins that have been modified by the addition of carbohydrate chains, a process that occurs in the Golgi apparatus.",Hard,Advanced,General,0.447058824,No Prerequisites,7,Biology,11
Cellular Organelles and their Functions,"The Golgi apparatus, lysosomes, and vacuoles are important parts of a cell, each with specific jobs. The Golgi apparatus is like a packaging and shipping center. It modifies proteins and lipids, then packs them into small sacs called vesicles. These vesicles can be sent to different parts of the cell or even outside the cell. Think of it as the cell's post office, preparing and sending packages to their destinations. Lysosomes are tiny sacs filled with special enzymes called hydrolytic enzymes. These enzymes break down large molecules like proteins, carbohydrates, and fats into smaller pieces. Lysosomes help in cleaning up the cell by digesting old cell parts or invading germs. They are like the cell's recycling center. Vacuoles are large, membrane-bound spaces in the cell's cytoplasm. They have different jobs, depending on the type of cell. In plant cells, the central vacuole stores water, nutrients, and waste. It also helps maintain the cell's structure by keeping it firm, a property known as turgor. In animal cells, vacuoles are smaller and help with storage and transportation of materials.",Which organelle is responsible for packaging and modifying proteins and lipids?,The Golgi apparatus,Easy,Beginner,General,0.297727273,No Prerequisites,2,Biology,11
Cellular Organelles and their Functions,"The Golgi apparatus, lysosomes, and vacuoles play crucial roles in cells. The Golgi apparatus is responsible for packaging and modifying proteins and lipids. For example, proteins synthesized in the endoplasmic reticulum are transported to the Golgi apparatus, where they are sorted, modified, and packaged into vesicles for transport to other parts of the cell or for secretion. Lysosomes contain hydrolytic enzymes that break down various biological molecules. They act as the cell's recycling center, breaking down worn-out organelles, food particles, and engulfed viruses or bacteria. This process is essential for cellular maintenance and defense. Vacuoles are membrane-bound spaces in the cytoplasm with diverse functions. In plant cells, large central vacuoles store water, nutrients, and waste products, helping maintain cell turgor, which is crucial for plant support. In animal cells, smaller vacuoles perform similar storage functions and assist in maintaining cellular homeostasis.",Describe the types of enzymes found in lysosomes and their optimal working condition.,"Lysosomes contain hydrolytic enzymes such as lipases, proteases, and carbohydrases. These enzymes work best at an acidic pH.",Medium,Intermediate,Conceptual,0.35,No Prerequisites,4,Biology,11
Cellular Organelles and their Functions,"The Golgi apparatus, lysosomes, and vacuoles play crucial roles in cellular processes. The Golgi apparatus is responsible for packaging and modifying proteins and lipids. For instance, it adds carbohydrates to proteins, forming glycoproteins essential for cellular recognition and communication. Lysosomes are organelles containing hydrolytic enzymes that break down biological molecules like proteins, nucleic acids, and polysaccharides. They function as the cell's digestive system, recycling old cellular components through autophagy and breaking down foreign particles through phagocytosis, as seen in white blood cells. Vacuoles are membrane-bound spaces in the cytoplasm with diverse functions. In plant cells, the central vacuole stores waste products and helps maintain cell turgor, which is vital for structural support. In contrast, contractile vacuoles in some protists, like Amoeba, aid in osmoregulation and water expulsion. Smaller vacuoles in animal cells store nutrients and sequester harmful substances.",Provide an example of a biological molecule that can be broken down by the enzymes found in lysosomes.,"Nucleic acids (e.g., DNA, RNA) can be broken down by the enzymes found in lysosomes.",Hard,Advanced,General,0.475,No Prerequisites,7,Biology,11
Cellular Vacuoles and Tonoplast,"Vacuoles are organelles found in plant cells that store water, sap, waste products, and other materials not useful for the cell. They are enclosed by a single membrane called the tonoplast. In plant cells, vacuoles can occupy up to 90% of the cell's volume. The tonoplast helps in transporting ions and other materials against concentration gradients into the vacuole, making their concentration higher inside the vacuole compared to the cytoplasm.",What is the membrane that encloses a vacuole in a plant cell called?,The membrane that encloses a vacuole in a plant cell is called the tonoplast.,Easy,Beginner,General,0.348076923,No Prerequisites,2,Biology,11
Cellular Vacuoles and Tonoplast,"Vacuoles are organelles found in plant cells that store water, sap, waste products, and other materials not useful for the cell. They are enclosed by a single membrane called the tonoplast. In plant cells, vacuoles can occupy up to 90% of the cell's volume. The tonoplast helps in transporting ions and other materials against concentration gradients into the vacuole, making their concentration higher inside the vacuole compared to the cytoplasm.",Describe the function of the tonoplast in a plant cell.,"The tonoplast facilitates the transport of ions and other materials against concentration gradients into the vacuole, ensuring that the concentration of these materials is significantly higher in the vacuole than in the cytoplasm.",Medium,Intermediate,Conceptual,0.2725,No Prerequisites,4,Biology,11
Cellular Vacuoles and Tonoplast,"Vacuoles are organelles found in plant cells that store water, sap, waste products, and other materials not useful for the cell. They are enclosed by a single membrane called the tonoplast. In plant cells, vacuoles can occupy up to 90% of the cell's volume. The tonoplast helps in transporting ions and other materials against concentration gradients into the vacuole, making their concentration higher inside the vacuole compared to the cytoplasm.",Provide an example of a material that is stored in a plant cell vacuole.,"An example of a material stored in a plant cell vacuole is water. Other materials include sap, waste products, and ions.",Hard,Advanced,General,0.373214286,No Prerequisites,7,Biology,11
Cellular Organelles and Their Functions,"Cellular organelles are specialized structures within cells that perform specific functions. In the given text, two key organelles are mentioned: the contractile vacuole and mitochondria. The contractile vacuole in Amoeba is crucial for osmoregulation and excretion, helping to maintain the cell's water balance and remove waste. Mitochondria are known as the powerhouses of the cell, responsible for producing energy through cellular respiration. Their number, shape, and size can vary depending on the cell's activity level.",What is the primary function of the contractile vacuole in an Amoeba?,The primary function of the contractile vacuole in an Amoeba is osmoregulation and excretion.,Easy,Beginner,General,0.322916667,No Prerequisites,2,Biology,11
Cellular Organelles and Their Functions,"Cellular organelles are specialized structures within cells that perform specific functions. In the given text, two key organelles are mentioned: the contractile vacuole and mitochondria. The contractile vacuole in Amoeba is crucial for osmoregulation and excretion, helping to maintain the cell's water balance and remove waste. Mitochondria are known as the powerhouses of the cell, responsible for producing energy through cellular respiration. Their number, shape, and size can vary depending on the cell's activity level.",Describe the role of mitochondria in a cell.,Mitochondria are responsible for producing energy in the form of ATP through the process of cellular respiration. They are often referred to as the powerhouses of the cell.,Medium,Intermediate,Conceptual,0.225,No Prerequisites,4,Biology,11
Cellular Organelles and Their Functions,"Cellular organelles are specialized structures within cells that perform specific functions. In the given text, two key organelles are mentioned: the contractile vacuole and mitochondria. The contractile vacuole in Amoeba is crucial for osmoregulation and excretion, helping to maintain the cell's water balance and remove waste. Mitochondria are known as the powerhouses of the cell, responsible for producing energy through cellular respiration. Their number, shape, and size can vary depending on the cell's activity level.",Provide an example of a cellular process that involves the formation of food vacuoles.,"An example of a cellular process that involves the formation of food vacuoles is phagocytosis, where the cell engulfs food particles and forms a food vacuole around them for digestion. This process is common in protists like Amoeba.",Hard,Advanced,General,0.373214286,No Prerequisites,7,Biology,11
Structure of Mitochondria,"Mitochondria are organelles found in the cells of eukaryotic organisms. They are often described as sausage-shaped or cylindrical, with a diameter ranging from 0.2 to 1.0 Âµm (average 0.5 Âµm) and a length of 1.0 to 4.1 Âµm. Each mitochondrion has a double membrane structure, consisting of an outer membrane and an inner membrane. The inner membrane is folded into structures called cristae, which increase the surface area for chemical reactions. Mitochondria are known as the powerhouses of the cell because they generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy.",What is the average diameter of a mitochondrion?,The average diameter of a mitochondrion is 0.5 Âµm.,Easy,Beginner,General,0.225,No Prerequisites,2,Biology,11
Structure of Mitochondria,"Mitochondria are organelles found in the cells of eukaryotic organisms. They are often described as sausage-shaped or cylindrical, with a diameter ranging from 0.2 to 1.0 Âµm (average 0.5 Âµm) and a length of 1.0 to 4.1 Âµm. Each mitochondrion has a double membrane structure, consisting of an outer membrane and an inner membrane. The inner membrane is folded into structures called cristae, which increase the surface area for chemical reactions. Mitochondria are known as the powerhouses of the cell because they generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy.","Describe the structure of a mitochondrion, including its membranes and internal features.","A mitochondrion has a double membrane structure. The outer membrane encloses the entire organelle, while the inner membrane is folded into structures called cristae. The space between the two membranes is known as the intermembrane space, and the space enclosed by the inner membrane is called the matrix. The cristae increase the surface area for chemical reactions, and the matrix contains enzymes and other molecules involved in cellular respiration.",Medium,Intermediate,Conceptual,0.325,No Prerequisites,4,Biology,11
Structure of Mitochondria,"Mitochondria are organelles found in the cells of eukaryotic organisms. They are often described as sausage-shaped or cylindrical, with a diameter ranging from 0.2 to 1.0 Âµm (average 0.5 Âµm) and a length of 1.0 to 4.1 Âµm. Each mitochondrion has a double membrane structure, consisting of an outer membrane and an inner membrane. The inner membrane is folded into structures called cristae, which increase the surface area for chemical reactions. Mitochondria are known as the powerhouses of the cell because they generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy.",Provide an example of a cellular process that occurs in the mitochondria and explain its significance.,"An example of a cellular process that occurs in the mitochondria is the Krebs cycle, also known as the citric acid cycle. This process is significant because it is a key step in cellular respiration, where acetyl-CoA is oxidized to produce energy in the form of ATP. The Krebs cycle generates reducing equivalents (NADH and FADH2) that are used in the electron transport chain to produce ATP. This process is crucial for the cell's energy production and overall metabolic function.",Hard,Advanced,Conceptual,0.425,No Prerequisites,7,Biology,11
Cellular Organelles - Mitochondria,"Mitochondria are membrane-bound organelles found in eukaryotic cells, often referred to as the powerhouses of the cell. They have two membranes: the outer membrane, which forms the continuous boundary, and the inner membrane, which has infoldings called cristae. These cristae increase the surface area for chemical reactions. The space within the inner membrane is filled with a substance called the matrix. The lumen (internal space) of the mitochondrion is divided into two compartments by these membranes.",What are the two membranes that make up the structure of a mitochondrion?,The two membranes that make up the structure of a mitochondrion are the outer membrane and the inner membrane.,Easy,Beginner,General,0.348076923,No Prerequisites,2,Biology,11
Cellular Organelles - Mitochondria,"Mitochondria are membrane-bound organelles found in eukaryotic cells, often referred to as the powerhouses of the cell. They have two membranes: the outer membrane, which forms the continuous boundary, and the inner membrane, which has infoldings called cristae. These cristae increase the surface area for chemical reactions. The space within the inner membrane is filled with a substance called the matrix. The lumen (internal space) of the mitochondrion is divided into two compartments by these membranes.",Describe the structure and function of the cristae within the mitochondrion.,"The cristae are infoldings of the inner membrane of the mitochondrion. They increase the surface area available for chemical reactions, particularly those involved in the production of ATP (adenosine triphosphate), which is the primary energy currency of the cell.",Medium,Intermediate,Conceptual,0.295454545,No Prerequisites,4,Biology,11
Cellular Organelles - Mitochondria,"Mitochondria are membrane-bound organelles found in eukaryotic cells, often referred to as the powerhouses of the cell. They have two membranes: the outer membrane, which forms the continuous boundary, and the inner membrane, which has infoldings called cristae. These cristae increase the surface area for chemical reactions. The space within the inner membrane is filled with a substance called the matrix. The lumen (internal space) of the mitochondrion is divided into two compartments by these membranes.",Provide an example of a cellular process that occurs within the matrix of the mitochondrion.,"An example of a cellular process that occurs within the matrix of the mitochondrion is the Krebs cycle (also known as the citric acid cycle or TCA cycle). This cycle is a series of chemical reactions that are part of cellular respiration, where acetyl-CoA is oxidized to produce energy in the form of ATP and other molecules like NADH and FADH2.",Hard,Advanced,General,0.396666667,No Prerequisites,7,Biology,11
Mitochondria and Cellular Respiration,"Mitochondria are organelles found in eukaryotic cells that are responsible for producing cellular energy in the form of ATP through the process of aerobic respiration. They are often referred to as the ""powerhouses"" of the cell. Mitochondria have an inner and outer membrane, each with specific enzymes that facilitate their functions. The matrix, the inner compartment, contains circular DNA, RNA molecules, ribosomes, and components necessary for protein synthesis. Mitochondria reproduce by a process called fission.",What is the primary function of mitochondria in a cell?,The primary function of mitochondria is to produce cellular energy in the form of ATP through aerobic respiration.,Easy,Beginner,General,0.275,No Prerequisites,2,Biology,11
